aX,aY,aZ,gX,gY,gZ
-0.549,0.801,0.094,7.690,-40.894,20.142
-0.516,0.726,0.071,10.498,-44.983,18.982
-0.500,0.677,0.058,14.954,-44.250,14.099
-0.494,0.665,0.049,22.095,-39.001,6.531
-0.458,0.713,0.033,27.832,-30.640,-1.221
-0.428,0.807,0.042,26.306,-20.081,-5.676
-0.442,0.900,0.101,17.212,-10.132,-6.348
-0.469,0.908,0.157,4.578,-6.531,-3.479
-0.494,0.890,0.188,-4.517,-10.742,0.732
-0.503,0.841,0.173,-6.836,-18.311,3.418
-0.500,0.793,0.141,-4.456,-25.635,5.066
-0.488,0.758,0.099,1.465,-29.236,5.066
-0.475,0.750,0.069,8.057,-28.198,2.197
-0.471,0.750,0.053,13.489,-23.254,-1.343
-0.471,0.788,0.058,16.907,-16.174,-5.371
-0.467,0.857,0.084,15.808,-9.338,-9.094
-0.472,0.930,0.122,9.216,-5.493,-9.888
-0.490,0.959,0.151,0.549,-4.944,-7.263
-0.500,0.935,0.158,-5.371,-7.507,-1.831
-0.503,0.894,0.151,-5.310,-11.841,3.723
-0.498,0.857,0.135,-0.244,-14.832,7.385
-0.482,0.830,0.121,6.653,-14.771,9.033
-0.475,0.810,0.107,11.597,-13.123,8.545
-0.454,0.800,0.090,14.587,-8.545,5.859

-1.697,0.853,-0.232,242.004,96.497,146.240
-1.923,0.875,-0.255,275.635,104.919,154.663
-2.161,0.913,-0.315,305.542,109.741,162.964
-2.394,1.010,-0.341,334.778,116.333,171.631
-2.571,1.217,-0.247,363.892,123.047,182.373
-2.779,1.403,-0.042,388.794,127.197,200.623
-2.962,1.471,0.189,406.677,118.042,230.530
-2.953,1.355,0.379,429.504,93.933,261.963
-2.876,1.205,0.469,470.215,65.247,281.738
-2.812,1.070,0.480,510.986,40.283,289.612
-2.707,0.923,0.473,533.203,16.479,285.583
-2.612,0.779,0.283,539.429,-0.549,268.250
-2.581,0.810,-0.003,534.058,-3.174,237.610
-2.494,0.876,-0.244,517.578,4.272,212.402
-2.368,0.828,-0.374,500.549,15.808,201.965
-2.235,0.625,-0.396,485.962,30.701,192.749
-1.984,0.418,-0.407,466.980,45.776,166.870
