aX,aY,aZ,gX,gY,gZ
-0.711,0.717,0.683,294.556,27.100,-74.524
-0.680,0.784,0.691,310.608,29.541,-59.937
-0.661,0.804,0.679,310.059,34.119,-44.189
-0.674,0.814,0.668,287.842,41.199,-33.447
-0.681,0.786,0.678,248.413,50.232,-28.992
-0.694,0.697,0.705,197.632,57.861,-28.503
-0.707,0.572,0.752,146.973,62.622,-30.457
-0.740,0.458,0.827,109.253,65.002,-35.400
-0.767,0.327,0.922,92.773,62.073,-38.025
-0.777,0.217,0.983,98.511,52.368,-37.476
-0.775,0.165,0.996,120.850,38.757,-36.560
-0.734,0.189,1.004,146.301,28.809,-36.621
-0.707,0.265,0.984,158.875,22.522,-36.621
-0.662,0.394,1.005,153.137,19.531,-36.377
-0.658,0.450,1.035,130.310,18.250,-33.875
-0.657,0.422,1.070,98.206,14.343,-30.212
-0.650,0.371,1.099,69.336,7.446,-29.419
-0.641,0.304,1.106,51.270,0.305,-31.372
-0.627,0.247,1.089,45.166,-7.996,-33.875
-0.604,0.198,1.052,49.255,-17.090,-36.560
-0.584,0.182,1.007,59.021,-26.123,-39.429
-0.545,0.198,0.964,70.190,-33.447,-44.128
-0.512,0.244,0.911,77.209,-38.330,-49.500
-0.474,0.291,0.866,77.087,-40.588,-53.711
-0.435,0.403,0.868,71.716,-39.124,-56.335
-0.422,0.515,0.896,60.852,-34.180,-52.490
-0.437,0.536,0.920,43.762,-34.546,-39.551
-0.421,0.445,0.898,26.794,-40.466,-25.513
-0.413,0.310,0.862,16.968,-46.448,-16.968
-0.405,0.180,0.815,14.771,-50.964,-16.846
-0.401,0.124,0.772,18.188,-55.298,-23.865
-0.397,0.118,0.747,27.771,-59.387,-33.508
-0.371,0.155,0.716,38.635,-62.744,-41.992
-0.332,0.227,0.696,48.523,-64.636,-46.753
-0.307,0.297,0.689,57.068,-61.707,-47.546
-0.295,0.363,0.713,59.998,-55.908,-43.396
-0.271,0.386,0.740,54.749,-49.988,-35.583

-2.011,0.781,-0.630,-456.726,71.594,-159.790
-2.503,1.267,-0.793,-507.141,49.988,-164.490
-3.027,1.795,-0.936,-537.781,36.682,-144.897
-3.520,2.317,-1.039,-554.932,24.780,-96.863
-3.878,2.613,-1.139,-574.707,11.902,-23.987
-4.000,2.768,-1.210,-601.318,-1.953,46.265
-4.000,2.891,-1.379,-631.531,-13.550,99.854
-3.999,3.171,-1.507,-665.527,-16.907,137.573
-3.682,3.702,-1.681,-678.772,4.211,164.246
-3.241,4.000,-1.803,-645.264,56.946,199.646
-2.732,4.000,-1.938,-569.275,131.714,243.591
-2.266,4.000,-2.015,-476.135,213.867,291.016
-1.747,4.000,-2.147,-390.503,289.734,333.618
-1.041,4.000,-2.307,-333.557,347.229,372.803
-0.362,4.000,-2.418,-304.810,388.184,407.654
0.197,4.000,-2.388,-285.278,411.987,441.223
0.780,4.000,-1.888,-262.634,412.720,463.074
1.330,4.000,-1.393,-225.098,375.854,470.642
1.711,3.640,-1.185,-179.016,318.237,457.031
2.112,3.268,-0.985,-149.048,260.193,424.988
2.725,3.217,-0.837,-138.184,211.182,385.376
3.224,2.801,-0.857,-141.968,174.316,356.140
3.687,2.134,-0.764,-161.133,156.738,329.834
3.658,1.747,-0.478,-161.438,145.630,289.490
3.513,1.304,-0.386,-110.474,120.300,268.677
3.396,0.880,-0.414,-44.189,89.294,252.136
3.210,0.611,-0.198,-17.578,69.458,212.158
2.839,0.311,0.227,-33.447,57.983,162.109
2.229,0.013,0.602,-60.547,31.799,120.850
1.843,-0.266,0.531,-79.895,10.681,93.506
1.492,-0.350,0.282,-77.759,20.874,66.162
1.060,-0.285,0.301,-58.228,23.071,31.006
0.526,-0.078,0.323,-26.245,19.775,1.526
0.096,0.167,0.212,2.441,9.827,-15.198
-0.276,0.309,0.079,18.188,-1.282,-21.362
-0.620,0.317,0.015,17.883,-6.775,-25.391
-0.893,0.263,0.021,9.460,-10.498,-34.302
-1.040,0.215,0.030,6.531,-15.320,-43.335
-1.091,0.177,0.021,14.282,-20.386,-50.171
-1.095,0.153,-0.011,30.334,-23.865,-56.702
-1.145,0.224,-0.089,52.979,-23.743,-64.514
-1.107,0.461,-0.224,74.890,-23.437,-69.946
-1.147,0.584,-0.236,80.811,-20.630,-66.101
-1.161,0.690,-0.293,56.030,-21.301,-66.040
-1.222,0.719,-0.352,23.010,-18.616,-72.510
-1.223,0.600,-0.354,12.939,-14.221,-59.448
-1.237,0.474,-0.349,17.273,-11.108,-52.795
-1.198,0.392,-0.342,30.151,-8.667,-50.903
-1.144,0.328,-0.357,48.096,-8.972,-52.673
-1.052,0.311,-0.421,67.505,-8.545,-57.251
-0.975,0.300,-0.482,82.520,-5.371,-62.317
-0.925,0.290,-0.521,92.651,0.122,-67.932
-0.872,0.291,-0.542,100.037,7.996,-73.486
-0.844,0.310,-0.519,104.309,16.602,-78.308
-0.842,0.359,-0.468,109.863,23.804,-82.397
-0.859,0.358,-0.401,118.896,28.931,-84.106
-0.884,0.343,-0.339,131.409,29.541,-79.651
-0.907,0.281,-0.312,149.597,28.381,-75.745
-0.898,0.222,-0.291,169.983,28.381,-76.050
-0.899,0.174,-0.292,189.148,29.175,-82.642
-0.879,0.174,-0.267,207.275,30.151,-94.177
-0.845,0.189,-0.235,224.731,30.457,-105.286
-0.837,0.209,-0.193,241.882,30.396,-114.136
-0.819,0.233,-0.147,256.287,30.334,-121.033
-0.781,0.322,-0.090,268.738,31.860,-126.770
-0.767,0.422,-0.032,280.396,36.438,-126.709
-0.760,0.556,0.028,291.382,42.786,-118.530
-0.794,0.657,0.089,300.476,48.462,-100.891
-0.834,0.632,0.120,302.063,53.528,-78.369
-0.869,0.565,0.131,291.687,55.420,-62.927
-0.885,0.507,0.150,267.944,53.162,-63.110
-0.876,0.474,0.189,237.549,48.523,-73.120
-0.866,0.430,0.239,209.534,41.687,-85.449
-0.894,0.409,0.304,193.115,35.217,-93.323
-0.910,0.425,0.409,192.200,31.311,-96.191
-0.926,0.434,0.492,203.979,27.771,-93.079
-0.901,0.469,0.513,220.886,20.996,-83.679
-0.858,0.510,0.472,237.000,12.634,-69.824
-0.808,0.557,0.391,247.192,9.766,-55.786
-0.754,0.589,0.313,249.390,13.977,-43.762
-0.694,0.583,0.255,243.408,22.400,-33.081
-0.647,0.548,0.262,231.750,37.048,-21.729
-0.645,0.462,0.294,218.933,59.753,-12.207
-0.695,0.396,0.415,205.627,85.144,-6.470
-0.739,0.287,0.578,197.937,104.553,-0.427
-0.774,0.191,0.715,196.655,114.807,6.592
-0.802,0.136,0.811,203.186,116.333,11.169
-0.797,0.096,0.844,216.614,113.770,14.893
-0.763,0.106,0.845,228.333,108.398,17.517
-0.717,0.150,0.816,231.262,102.295,16.907
-0.658,0.203,0.757,220.703,97.717,13.611
-0.596,0.251,0.665,196.289,97.717,6.104
-0.542,0.294,0.616,160.950,105.530,-4.700
-0.526,0.342,0.652,121.582,116.150,-17.456
-0.546,0.335,0.728,84.778,126.587,-28.198
-0.572,0.291,0.814,55.420,131.042,-34.912
-0.606,0.256,0.904,39.307,125.793,-39.795
-0.624,0.209,0.958,38.513,112.305,-41.138
-0.625,0.169,0.968,48.950,95.520,-40.344
-0.613,0.143,0.950,63.293,78.857,-40.222
-0.587,0.127,0.915,76.965,66.956,-41.687
-0.564,0.152,0.889,85.205,62.500,-45.715
-0.556,0.184,0.884,84.595,64.514,-50.659
-0.547,0.204,0.897,72.571,68.604,-53.894
-0.579,0.220,0.907,52.734,71.167,-55.420
-0.600,0.185,0.946,31.860,73.059,-56.396
-0.617,0.140,1.001,12.390,71.350,-58.960
-0.635,0.103,1.063,-0.244,64.026,-63.721
-0.648,0.071,1.103,-0.854,52.612,-68.665
-0.654,0.072,1.106,13.306,40.222,-71.838
-0.640,0.080,1.078,37.048,28.625,-72.449
-0.607,0.084,1.025,59.082,20.142,-73.303
-0.578,0.102,0.959,69.641,18.066,-77.515
-0.564,0.147,0.951,65.125,23.315,-85.632
-0.561,0.181,0.976,47.913,30.762,-93.994
-0.583,0.214,1.034,23.743,34.790,-99.060
-0.606,0.202,1.093,2.808,33.691,-99.365
-0.631,0.173,1.138,-8.057,26.306,-94.849
-0.642,0.113,1.142,-6.653,14.526,-87.280

-2.912,1.089,-0.625,-474.915,78.979,-194.214
-3.909,1.547,-0.917,-553.528,42.664,-208.740
-4.000,2.146,-1.711,-544.617,-5.127,-179.993
-4.000,3.035,-2.769,-426.453,-29.480,-102.417
-4.000,3.999,-3.539,-297.974,-0.549,1.709
-4.000,4.000,-3.341,-280.579,71.106,105.896
-4.000,4.000,-2.354,-375.671,153.015,203.003
-3.711,4.000,-1.042,-502.563,218.567,290.588
-3.035,4.000,-0.281,-608.337,249.512,352.478
-2.111,4.000,-0.539,-635.925,268.311,394.226
-1.074,4.000,-1.434,-526.733,297.363,455.811
