aX,aY,aZ,gX,gY,gZ
0.383,-0.684,0.452,101.379,-125.244,-15.747
0.139,-0.613,0.348,48.218,-127.075,-46.631
-0.062,-0.554,0.154,-24.780,-118.469,-75.317
-0.245,-0.527,-0.038,-89.417,-96.741,-92.590
-0.428,-0.497,-0.125,-127.869,-62.073,-97.412
-0.761,-0.550,-0.106,-136.414,-19.958,-93.506
-1.254,-0.548,-0.035,-123.779,17.578,-91.309
-1.686,-0.467,0.096,-99.182,42.908,-96.558
-2.078,-0.332,0.246,-73.547,58.899,-102.600
-2.334,-0.152,0.433,-58.044,70.496,-106.567
-2.347,0.018,0.634,-54.321,78.308,-112.915
-2.238,0.140,0.797,-58.533,82.764,-116.028
-2.033,0.170,0.906,-62.866,87.402,-109.619
-1.867,0.106,0.994,-58.289,93.323,-98.450
-1.745,-0.007,1.017,-45.166,98.389,-86.182
-1.544,-0.063,1.076,-28.503,100.342,-78.430
-1.507,-0.121,1.174,-11.353,99.060,-74.707
-1.411,-0.209,1.224,-4.944,90.881,-70.496
-1.274,-0.244,1.234,-9.644,72.693,-70.679
-1.196,-0.204,1.198,-18.860,51.147,-75.378
-1.109,-0.126,1.104,-28.320,30.151,-79.834
-0.991,0.001,0.977,-33.142,9.949,-81.299
-0.906,0.086,0.839,-29.236,-3.906,-75.684
-0.844,0.083,0.725,-20.447,-10.193,-60.730
-0.813,0.005,0.693,-13.367,-10.376,-42.175
-0.789,-0.186,0.710,-13.123,-6.226,-26.062
-0.791,-0.395,0.719,-18.494,-0.854,-16.724
-0.780,-0.533,0.739,-23.499,3.235,-18.677
-0.766,-0.561,0.788,-20.142,5.432,-28.076
-0.758,-0.492,0.829,-7.568,6.348,-37.964
-0.738,-0.320,0.885,6.470,4.639,-45.410
-0.693,-0.141,0.912,16.602,0.183,-47.180
-0.633,0.001,0.905,17.883,-4.028,-43.335
-0.591,0.077,0.886,11.475,-5.432,-35.767
-0.591,0.077,0.879,2.197,-3.296,-25.879
-0.594,0.041,0.889,-5.981,-0.671,-15.686
-0.595,-0.052,0.879,-12.878,0.122,-7.690
-0.595,-0.155,0.844,-16.174,0.000,-4.211
-0.596,-0.190,0.818,-13.550,-1.099,-5.249
-0.584,-0.181,0.808,-4.822,-3.296,-7.751
-0.565,-0.136,0.828,6.470,-5.127,-9.216
-0.552,-0.093,0.876,15.747,-5.554,-9.277
-0.554,-0.070,0.906,18.982,-5.310,-8.667
-0.541,-0.042,0.907,15.442,-5.371,-8.606
-0.537,-0.027,0.894,8.118,-4.456,-7.996
-0.533,-0.028,0.866,0.366,-2.319,-6.348
-0.525,-0.047,0.823,-5.554,0.244,-3.967
-0.516,-0.093,0.804,-8.362,3.906,-1.953
-0.521,-0.127,0.809,-7.996,7.507,-2.075
-0.517,-0.118,0.837,-5.371,8.240,-3.784
-0.528,-0.105,0.856,-1.404,6.592,-5.127
-0.518,-0.103,0.857,3.296,4.395,-3.662
-0.508,-0.110,0.851,8.667,2.686,-1.892
-0.501,-0.116,0.850,12.085,2.625,-0.488
-0.483,-0.107,0.854,12.390,3.906,0.183
