aX,aY,aZ,gX,gY,gZ
-1.552,0.153,0.891,-81.787,-50.781,-113.586
-1.519,0.271,0.911,-101.501,-56.702,-125.977
-1.477,0.297,0.874,-127.380,-69.885,-128.113
-1.412,0.228,0.774,-147.461,-90.637,-121.948
-1.316,0.043,0.642,-151.855,-105.530,-105.530
-1.223,-0.140,0.505,-135.193,-110.840,-86.548
-1.164,-0.251,0.393,-99.731,-106.689,-70.923
-1.099,-0.268,0.344,-55.603,-94.299,-58.594
-1.062,-0.194,0.357,-18.799,-81.421,-49.805
-1.020,-0.092,0.370,-0.854,-72.693,-43.945
-1.004,0.021,0.402,0.061,-67.505,-40.771
-1.009,0.087,0.409,-8.179,-63.171,-39.856
-0.995,0.130,0.400,-18.982,-61.096,-40.833
-0.980,0.152,0.383,-23.804,-59.082,-42.175
-0.962,0.154,0.341,-21.851,-56.213,-42.114
-0.930,0.173,0.302,-14.832,-53.406,-41.199
-0.918,0.222,0.308,-2.869,-49.194,-38.025
-0.905,0.256,0.348,11.047,-43.823,-28.320
-0.900,0.250,0.411,25.513,-38.086,-16.174
-0.932,0.230,0.458,35.950,-32.959,-5.981
-0.937,0.194,0.463,39.917,-30.640,-0.061
-0.936,0.198,0.445,37.781,-30.457,0.305
-0.915,0.205,0.425,30.396,-28.320,-2.686
-0.891,0.228,0.399,21.362,-25.513,-8.118
-0.859,0.288,0.437,14.526,-20.142,-15.137
-0.873,0.325,0.517,13.489,-13.733,-20.813
-0.869,0.373,0.570,17.334,-15.198,-23.132
-0.856,0.398,0.568,23.315,-21.362,-23.193
-0.840,0.406,0.528,27.283,-27.466,-21.973
-0.814,0.398,0.471,28.137,-30.273,-20.020
-0.801,0.395,0.417,25.757,-27.039,-19.348
-0.798,0.416,0.403,18.921,-19.348,-19.470
-0.800,0.429,0.421,9.521,-10.193,-18.433
-0.808,0.433,0.447,2.747,-3.113,-15.625
-0.804,0.431,0.496,1.099,1.831,-11.292
-0.811,0.423,0.571,3.357,2.869,-5.066
-0.818,0.398,0.626,7.629,-1.831,1.465
-0.810,0.362,0.631,11.780,-9.705,6.958
-0.810,0.330,0.614,14.526,-17.151,8.911
-0.804,0.294,0.575,15.747,-21.240,8.179
-0.797,0.292,0.530,15.076,-21.973,5.432
-0.786,0.301,0.489,12.573,-19.470,1.892
-0.783,0.314,0.462,6.897,-14.404,-0.732
-0.779,0.318,0.456,1.099,-8.484,-2.686
-0.779,0.322,0.493,-2.258,-3.784,-3.601
-0.792,0.317,0.546,-3.601,-2.502,-4.333
-0.793,0.299,0.577,-2.625,-4.944,-4.700
-0.791,0.296,0.555,-0.061,-10.559,-4.883
-0.778,0.302,0.516,4.639,-15.015,-4.333
-0.769,0.317,0.479,10.071,-15.442,-2.563
-0.754,0.348,0.432,13.733,-12.451,-0.244
-0.746,0.368,0.410,11.536,-6.836,2.258
-0.748,0.357,0.426,4.944,0.427,3.479
-0.752,0.350,0.457,-1.587,6.104,3.479
-0.748,0.346,0.490,-6.470,8.362,2.808
-0.747,0.336,0.522,-10.132,7.385,2.258
-0.747,0.331,0.532,-11.169,3.723,1.709
-0.746,0.337,0.519,-7.874,-1.099,2.014
-0.744,0.354,0.501,-0.122,-3.479,4.395
-0.743,0.367,0.480,8.423,-2.441,8.728
-0.745,0.371,0.467,12.817,2.014,12.268
-0.755,0.357,0.479,11.169,8.179,13.550
-0.751,0.339,0.501,5.737,13.550,12.512

-2.164,0.241,0.264,-17.212,84.167,50.720
-2.367,0.207,0.229,-17.273,91.614,53.955
-2.530,0.197,0.202,-15.625,99.426,55.725
-2.694,0.174,0.176,-13.123,113.342,58.655
-2.810,0.139,0.143,-5.188,129.700,61.707
-2.892,0.109,0.118,13.306,149.353,65.552
-2.941,0.099,0.103,47.424,172.607,74.524
-2.928,0.107,0.106,95.703,197.510,87.280
-2.953,0.124,0.156,152.100,220.520,102.051
-3.076,0.133,0.230,211.487,234.680,122.437
-3.364,0.110,0.234,263.733,229.675,153.381
-3.691,0.078,0.227,294.434,197.815,186.829
-3.838,-0.091,0.059,291.748,152.222,215.210
-3.803,-0.491,-0.251,251.831,97.778,220.337
-3.445,-0.946,-0.646,194.031,48.401,192.261
-2.921,-1.264,-1.132,143.982,14.099,139.526
-2.175,-1.387,-1.627,132.019,-0.183,90.271
-1.082,-1.518,-1.854,175.354,13.794,62.622
0.319,-1.631,-1.699,238.525,60.486,44.189
1.707,-1.347,-1.112,254.028,120.911,5.188
2.719,-0.754,-0.389,197.754,166.382,-47.729
3.895,-0.167,0.171,88.501,195.190,-82.947
4.000,0.172,0.604,-29.297,224.182,-93.933
4.000,0.083,0.890,-129.211,262.024,-109.497
4.000,-0.153,1.450,-206.360,282.837,-165.405
4.000,0.309,1.924,-218.994,272.888,-246.216
4.000,1.436,2.348,-122.742,281.311,-298.462
4.000,2.604,2.783,33.875,299.316,-267.639
3.412,3.420,3.094,165.466,288.513,-175.964
2.099,3.799,3.390,212.280,236.877,-79.712
1.453,3.453,3.358,160.522,122.559,14.160
1.740,2.510,2.873,48.035,-46.326,100.891
2.700,1.103,2.137,-71.533,-210.632,165.527
3.489,-0.195,1.406,-159.546,-316.589,204.041
3.629,-1.029,0.918,-177.063,-340.454,206.604
3.372,-1.326,0.616,-115.479,-313.110,187.622
2.911,-1.313,0.434,-13.123,-276.917,167.114
2.391,-1.055,0.407,82.581,-252.075,152.222
1.935,-0.687,0.470,131.653,-236.572,135.376
1.580,-0.449,0.499,118.530,-226.685,115.662
1.293,-0.402,0.507,57.434,-216.797,90.942
1.046,-0.488,0.470,-24.048,-205.444,63.293
0.765,-0.611,0.367,-94.788,-190.430,37.170
0.422,-0.673,0.304,-132.935,-168.579,16.724
0.096,-0.682,0.301,-134.033,-143.005,2.747
-0.259,-0.639,0.319,-110.718,-121.033,-5.981
-0.567,-0.575,0.310,-81.482,-106.628,-13.977
-0.902,-0.509,0.244,-58.228,-98.938,-25.024
-1.231,-0.424,0.177,-46.997,-90.759,-40.833
-1.497,-0.322,0.180,-50.476,-79.956,-57.678
-1.684,-0.240,0.261,-67.871,-65.979,-67.932
-1.727,-0.218,0.399,-90.942,-56.274,-71.899
-1.709,-0.232,0.527,-110.535,-54.749,-74.158
-1.708,-0.260,0.556,-121.033,-60.364,-76.355
-1.601,-0.246,0.569,-117.615,-73.059,-80.322
-1.568,-0.189,0.493,-101.868,-83.801,-86.853
-1.484,-0.109,0.381,-87.402,-91.370,-95.764
-1.373,0.003,0.277,-83.130,-99.060,-109.558
-1.363,0.109,0.263,-87.463,-95.337,-120.728
-1.404,0.143,0.308,-95.398,-79.407,-120.911
-1.413,0.110,0.366,-104.614,-65.247,-113.098
-1.443,0.048,0.443,-110.535,-57.556,-105.896
-1.439,-0.024,0.487,-111.572,-56.213,-102.051
-1.387,-0.072,0.500,-107.300,-61.340,-103.821
-1.318,-0.038,0.489,-95.947,-67.139,-111.511
-1.264,0.066,0.422,-76.904,-67.566,-120.850
-1.240,0.214,0.361,-54.016,-60.059,-127.563
-1.263,0.349,0.297,-37.048,-48.096,-127.930
