aX,aY,aZ,gX,gY,gZ
-1.079,-0.258,1.429,-124.390,87.830,-275.757
-1.053,-0.270,1.404,-88.928,85.144,-270.874
-1.043,-0.288,1.353,-83.923,81.238,-277.100
-0.995,-0.254,1.312,-103.638,73.364,-291.199
-0.987,-0.208,1.285,-131.531,61.707,-306.824
-1.004,-0.177,1.212,-147.400,43.274,-315.125
-1.073,-0.162,1.107,-141.113,21.973,-313.660
-1.099,-0.144,1.018,-120.361,3.662,-309.326
-1.080,-0.098,0.946,-98.022,-8.789,-307.495
-1.067,-0.022,0.875,-85.876,-15.564,-308.777
-1.045,0.045,0.813,-84.351,-19.897,-309.692
-1.037,0.068,0.749,-85.510,-22.156,-303.101
-1.032,0.059,0.695,-82.703,-20.264,-287.048
-1.062,0.013,0.712,-73.425,-15.381,-267.029
-1.073,-0.022,0.793,-62.744,-12.512,-248.718
-1.092,-0.075,0.879,-55.542,-13.306,-235.474
-1.094,-0.122,0.917,-54.443,-20.081,-229.797
-1.076,-0.148,0.904,-56.458,-31.311,-231.445
-1.041,-0.109,0.871,-56.824,-41.870,-238.098
-0.995,-0.016,0.852,-52.368,-50.537,-245.422
-0.965,0.116,0.809,-43.640,-56.458,-249.329
-0.929,0.254,0.738,-34.790,-58.838,-247.009
-0.924,0.358,0.668,-29.663,-58.228,-236.694
-0.919,0.373,0.600,-28.076,-55.115,-215.698
-0.925,0.311,0.582,-22.827,-47.302,-188.354
-0.933,0.233,0.630,-10.986,-38.452,-161.926
-0.955,0.185,0.692,3.052,-34.119,-139.587
-0.942,0.143,0.733,13.611,-38.086,-120.728
-0.938,0.098,0.756,19.226,-45.715,-107.300
-0.906,0.071,0.772,22.644,-53.467,-100.586
-0.878,0.072,0.780,25.696,-58.716,-99.670
-0.860,0.120,0.773,28.137,-60.547,-101.807
-0.847,0.227,0.752,29.846,-58.838,-102.051
-0.818,0.364,0.714,26.550,-54.626,-96.130
-0.803,0.457,0.706,16.296,-47.607,-82.825
-0.798,0.471,0.729,2.991,-39.063,-63.599
-0.810,0.400,0.793,-5.676,-32.654,-41.626
-0.820,0.305,0.836,-6.592,-31.311,-22.766
-0.806,0.213,0.843,-2.014,-33.997,-9.338
-0.794,0.153,0.820,5.554,-36.011,-2.747
-0.780,0.119,0.789,12.573,-35.156,-1.038
-0.743,0.113,0.770,15.076,-32.104,-3.113
-0.733,0.125,0.740,14.038,-25.696,-6.409
-0.715,0.145,0.728,11.292,-17.456,-10.193
-0.702,0.172,0.739,7.874,-8.789,-13.367
-0.692,0.196,0.768,5.371,-0.549,-14.954
-0.690,0.221,0.816,3.418,4.333,-14.893
-0.692,0.240,0.859,3.052,2.991,-11.963
-0.675,0.227,0.855,5.127,-2.991,-7.507
-0.655,0.208,0.808,7.690,-9.033,-4.211
-0.631,0.185,0.754,9.583,-12.390,-3.357
-0.608,0.172,0.720,10.010,-12.146,-4.028
-0.585,0.179,0.705,8.545,-9.521,-5.981
-0.564,0.191,0.691,6.714,-5.981,-7.568
-0.557,0.215,0.677,2.563,-2.563,-7.996
-0.546,0.226,0.683,-2.075,1.465,-7.202
-0.542,0.225,0.695,-5.432,5.127,-5.737
-0.542,0.227,0.728,-7.812,6.653,-4.089
-0.562,0.225,0.786,-8.240,3.601,-1.221
-0.569,0.189,0.804,-5.676,-5.188,4.089

-1.821,0.363,0.765,-47.485,100.891,81.909
-1.931,0.509,0.771,-59.082,98.450,89.722
-2.042,0.628,0.742,-50.415,98.755,110.046
-2.162,0.691,0.694,-29.663,103.638,140.686
-2.326,0.784,0.697,-10.132,112.854,175.110
-2.460,0.917,0.781,1.099,121.887,211.609
-2.636,1.021,0.914,3.113,124.329,252.197
-2.771,1.069,1.027,-0.061,116.882,296.326
-2.785,1.049,1.140,1.709,98.877,338.379
-2.738,1.013,1.152,13.428,72.571,375.610
-2.678,0.966,1.096,31.738,47.058,407.471
-2.663,0.984,1.015,48.096,26.428,431.519
-2.735,1.041,0.908,63.416,9.644,451.172
-2.708,1.187,0.856,88.074,-3.479,470.154
-2.542,1.414,0.965,119.202,-14.526,490.112
-2.344,1.561,1.189,144.043,-30.090,514.343
-2.127,1.548,1.321,158.630,-61.340,538.330
-1.880,1.480,1.342,172.424,-103.149,551.208
-1.677,1.376,1.253,183.289,-140.991,550.476
-1.441,1.235,1.086,183.044,-170.105,540.039
-1.200,1.268,0.973,182.068,-183.350,520.569
-0.921,1.467,1.025,200.806,-173.157,502.747
-0.656,1.744,1.192,227.539,-146.973,492.615
-0.259,2.175,1.697,238.037,-120.178,479.797
0.147,2.349,2.169,222.961,-101.624,463.806
0.595,2.127,2.245,185.242,-110.718,456.299
0.963,1.592,1.990,145.630,-126.282,454.285
1.392,1.003,1.746,117.859,-124.756,441.467
1.831,0.615,1.589,104.065,-110.413,406.250
2.330,0.535,1.552,98.877,-87.036,354.736
2.557,0.585,1.455,96.130,-56.213,300.354
2.588,0.678,1.402,98.267,-21.362,250.244
2.624,0.764,1.470,105.591,10.986,205.078
2.662,0.843,1.683,107.727,26.367,160.889
2.642,0.865,1.865,99.487,14.038,112.183
2.636,0.833,1.786,77.759,-24.719,53.040
2.627,0.838,1.456,39.429,-72.937,-14.404
2.598,0.849,0.993,-13.306,-109.375,-79.956
