aX,aY,aZ,gX,gY,gZ
-0.195,0.719,-0.039,-7.446,-175.476,66.101
-0.110,0.746,-0.070,-10.986,-171.875,63.721
-0.094,0.790,-0.090,-14.038,-174.866,61.768
-0.159,0.830,-0.106,-14.893,-181.030,60.120
-0.260,0.860,-0.130,-13.672,-186.584,58.105
-0.388,0.892,-0.145,-10.010,-188.416,55.786
-0.491,0.896,-0.143,-4.700,-184.937,53.772
-0.545,0.870,-0.147,0.977,-176.208,52.307
-0.545,0.832,-0.151,6.653,-164.368,51.758
-0.476,0.797,-0.148,10.559,-153.503,50.720
-0.403,0.768,-0.155,12.268,-146.973,48.767
-0.366,0.742,-0.169,11.841,-146.484,46.326
-0.376,0.748,-0.189,9.827,-150.391,43.457
-0.457,0.762,-0.213,7.690,-155.457,41.077
-0.550,0.767,-0.231,6.348,-158.325,39.490
-0.613,0.759,-0.248,5.676,-156.982,38.330
-0.640,0.726,-0.261,5.493,-152.039,37.598
-0.672,0.690,-0.263,5.188,-145.691,36.560
-0.684,0.658,-0.263,4.395,-137.939,33.630
-0.661,0.652,-0.262,3.052,-130.371,28.748
-0.649,0.647,-0.259,1.953,-124.695,22.766
-0.656,0.645,-0.249,0.671,-121.216,17.456
-0.645,0.662,-0.253,-0.793,-119.568,13.489

-1.307,1.052,-0.291,46.692,68.176,-37.903
-1.335,1.042,-0.317,47.180,78.552,-35.889
-1.347,1.035,-0.337,44.556,90.210,-33.142
-1.337,1.077,-0.350,41.016,102.051,-30.212
-1.293,1.145,-0.342,39.429,113.953,-28.687
-1.229,1.217,-0.333,41.443,125.244,-27.832
-1.164,1.271,-0.318,46.936,135.620,-25.146
-1.093,1.321,-0.293,54.871,145.691,-19.470
-1.033,1.339,-0.255,65.491,155.396,-11.230
-0.967,1.317,-0.240,77.209,164.307,-2.502
-0.895,1.250,-0.215,88.562,171.753,5.920
-0.839,1.144,-0.206,97.595,177.979,11.780
-0.806,1.045,-0.173,102.234,182.861,14.893
-0.766,0.959,-0.148,102.600,187.744,16.296
-0.722,0.882,-0.123,98.755,191.711,17.578
-0.660,0.804,-0.106,90.576,194.336,19.836
-0.608,0.733,-0.094,79.224,194.275,23.193
-0.562,0.668,-0.084,64.087,191.467,25.330
-0.541,0.610,-0.082,46.265,186.890,25.757
-0.535,0.577,-0.078,27.100,181.763,23.987
-0.525,0.613,-0.085,8.667,177.368,20.264
-0.525,0.668,-0.088,-5.005,173.584,15.442
-0.534,0.739,-0.099,-13.611,170.898,10.681
-0.563,0.797,-0.113,-17.029,169.678,7.446
-0.579,0.815,-0.124,-15.564,169.617,5.005
-0.558,0.811,-0.147,-12.024,170.898,3.052
-0.517,0.781,-0.175,-8.911,172.363,2.380
-0.469,0.731,-0.197,-7.385,172.913,2.197
-0.444,0.668,-0.201,-8.789,172.791,1.038
-0.423,0.623,-0.201,-13.550,173.035,-2.075
-0.407,0.581,-0.212,-20.935,174.255,-5.981
-0.404,0.574,-0.218,-30.457,175.842,-11.169
-0.388,0.589,-0.219,-40.466,178.955,-17.639
-0.360,0.623,-0.210,-49.255,183.289,-24.902
-0.298,0.690,-0.198,-56.152,189.148,-31.921
-0.200,0.745,-0.219,-60.425,193.848,-35.645
-0.143,0.809,-0.210,-61.462,193.481,-35.156
-0.099,0.846,-0.183,-60.059,189.087,-31.311
-0.062,0.835,-0.165,-57.068,182.251,-26.123
-0.064,0.813,-0.152,-54.626,173.950,-23.132
-0.070,0.817,-0.125,-53.467,166.504,-24.048
-0.053,0.857,-0.106,-52.673,162.354,-29.114
