aX,aY,aZ,gX,gY,gZ
-1.627,1.637,-2.408,-270.020,61.951,-17.212
-1.805,1.754,-2.444,-259.338,93.628,-7.202
-1.691,2.094,-2.635,-237.305,132.019,5.615
-1.750,2.076,-2.658,-206.604,165.283,13.123
-1.710,2.000,-2.715,-175.171,196.777,17.090
-1.671,1.978,-2.746,-149.292,225.037,22.583
-1.525,1.963,-2.785,-131.104,251.587,31.128
-1.385,1.988,-2.752,-119.873,274.719,41.077
-1.200,2.000,-2.742,-112.305,294.495,52.612
-0.992,1.942,-2.730,-107.666,312.256,68.604
-0.805,1.880,-2.659,-107.239,324.768,82.947
-0.578,1.909,-2.620,-110.107,332.520,93.628
-0.422,1.918,-2.554,-111.450,334.412,101.685
-0.264,1.873,-2.505,-108.765,333.984,106.873
-0.172,1.806,-2.455,-102.844,329.712,109.802
-0.125,1.868,-2.417,-93.994,326.599,114.990
-0.017,1.826,-2.340,-80.994,323.547,117.004
0.067,1.736,-2.258,-64.880,318.237,117.493
0.123,1.635,-2.148,-47.241,311.218,116.150
0.201,1.445,-2.045,-31.372,303.162,116.272
0.264,1.224,-1.959,-21.240,293.274,121.887
0.287,1.001,-1.848,-19.592,280.701,127.991
0.288,0.882,-1.708,-25.574,266.052,129.028
0.277,0.867,-1.574,-33.569,251.465,126.221
0.253,0.905,-1.407,-38.025,237.793,122.681
0.248,0.883,-1.243,-36.072,225.098,119.690
0.273,0.811,-1.077,-28.687,213.806,116.272
0.297,0.671,-0.920,-19.348,202.576,112.976
0.310,0.480,-0.786,-11.658,190.247,110.596
0.320,0.306,-0.655,-8.423,176.697,106.628
0.324,0.210,-0.538,-9.216,162.048,98.877
0.303,0.147,-0.442,-11.292,145.691,89.966
0.244,0.095,-0.367,-13.306,128.357,81.543
0.166,0.053,-0.300,-14.343,111.816,74.036
0.081,0.016,-0.262,-15.198,96.863,67.017
0.006,-0.001,-0.249,-15.381,83.740,59.998
-0.071,-0.010,-0.238,-15.259,71.533,52.612
-0.129,-0.001,-0.226,-14.160,61.401,44.434
-0.168,0.040,-0.203,-11.414,52.795,35.583
-0.214,0.064,-0.195,-6.653,45.410,27.771
-0.237,0.042,-0.204,-1.343,38.818,22.095
-0.264,0.005,-0.208,3.357,32.043,17.944
-0.293,-0.029,-0.219,6.287,25.024,13.489
-0.329,-0.051,-0.230,7.019,17.822,8.118
-0.372,-0.053,-0.228,6.714,10.376,2.075
-0.413,-0.043,-0.215,6.470,3.723,-3.479
-0.442,-0.060,-0.224,6.592,-2.014,-8.423
-0.479,-0.045,-0.222,7.141,-7.629,-13.062
-0.497,-0.056,-0.224,7.629,-13.245,-18.799
-0.510,-0.048,-0.238,8.179,-18.005,-24.902
-0.500,-0.009,-0.253,9.033,-22.461,-31.494
-0.492,0.029,-0.255,10.864,-27.222,-38.147
-0.492,0.052,-0.268,13.550,-32.471,-44.128
-0.491,0.080,-0.282,15.991,-37.903,-48.523
-0.482,0.090,-0.308,17.944,-43.091,-51.880
-0.462,0.108,-0.338,19.287,-48.035,-55.847
-0.452,0.131,-0.359,20.264,-53.467,-60.913
-0.460,0.161,-0.377,21.667,-59.570,-66.467
-0.457,0.177,-0.402,23.437,-64.880,-71.045
-0.457,0.192,-0.437,25.696,-69.458,-75.378
-0.442,0.209,-0.481,28.198,-73.792,-80.017
-0.460,0.241,-0.517,30.823,-78.125,-84.961
-0.484,0.322,-0.542,33.936,-81.787,-90.149
-0.531,0.417,-0.560,39.246,-84.656,-95.459
-0.590,0.489,-0.576,47.119,-87.097,-99.487
-0.627,0.547,-0.599,57.190,-87.524,-102.112
-0.638,0.591,-0.640,67.993,-86.670,-104.065
-0.636,0.629,-0.670,79.346,-85.876,-105.652
-0.633,0.661,-0.698,91.492,-85.388,-107.300
-0.619,0.688,-0.722,104.370,-85.693,-109.924
-0.643,0.671,-0.735,117.859,-86.853,-113.220
-0.687,0.648,-0.756,129.761,-87.830,-116.394
-0.807,0.614,-0.759,138.245,-87.952,-119.202
