aX,aY,aZ,gX,gY,gZ
-0.544,-0.502,-0.215,433.044,69.275,104.187
-0.437,-0.588,-0.061,387.573,73.547,88.745
-0.092,-0.672,0.042,342.834,87.585,77.087
0.337,-0.797,0.126,298.889,101.624,70.496
0.587,-0.833,0.292,258.118,110.657,67.810
0.758,-0.847,0.389,224.976,122.192,65.430
1.055,-0.906,0.369,198.425,138.000,58.838
1.421,-0.969,0.333,174.133,151.245,44.250
1.740,-0.953,0.339,149.475,158.630,22.156
1.895,-0.827,0.438,124.878,166.748,-3.052
2.039,-0.677,0.530,104.126,183.411,-25.513
2.165,-0.576,0.650,88.806,203.430,-42.175
2.312,-0.504,0.827,80.566,216.919,-47.913
2.507,-0.549,0.975,80.933,216.309,-40.466
2.601,-0.626,1.130,85.205,199.890,-28.748
2.565,-0.748,1.218,85.205,171.692,-26.428
2.475,-0.893,1.189,73.608,134.460,-41.687
2.279,-0.955,1.096,45.959,86.548,-69.397
1.969,-0.852,0.952,7.935,33.386,-90.820
1.618,-0.669,0.739,-31.616,-13.184,-91.614
1.297,-0.464,0.538,-67.627,-48.828,-74.768
1.038,-0.307,0.386,-94.849,-70.923,-47.913
0.841,-0.281,0.290,-112.000,-80.139,-18.066
0.775,-0.330,0.247,-121.277,-80.200,10.986
0.804,-0.427,0.244,-125.854,-75.867,36.804
0.846,-0.528,0.268,-129.028,-72.083,53.467
0.853,-0.610,0.311,-132.446,-70.679,60.181
0.876,-0.634,0.358,-136.658,-71.106,61.768
0.950,-0.615,0.401,-140.991,-74.707,61.462
1.033,-0.589,0.407,-145.386,-82.642,61.646
1.030,-0.534,0.408,-150.757,-94.727,61.707
0.962,-0.410,0.419,-156.311,-105.835,61.829
0.872,-0.262,0.418,-159.912,-110.596,59.875
0.758,-0.117,0.433,-160.217,-108.765,55.420
0.642,-0.003,0.434,-157.227,-101.624,51.025
0.550,0.048,0.455,-152.405,-92.651,48.462
0.516,0.034,0.502,-148.682,-84.412,47.607
0.466,-0.050,0.544,-151.550,-78.613,47.302
0.423,-0.152,0.567,-163.757,-76.233,48.462
0.320,-0.203,0.561,-184.753,-76.538,50.598
0.103,-0.182,0.516,-211.243,-77.515,49.377
-0.171,-0.070,0.447,-237.427,-76.721,43.457
-0.434,0.094,0.399,-258.545,-71.777,33.020
-0.619,0.244,0.355,-272.217,-61.523,19.897
-0.721,0.351,0.323,-279.175,-47.607,5.127
-0.742,0.409,0.318,-282.532,-34.424,-9.033
-0.699,0.430,0.337,-284.241,-25.574,-19.165
-0.715,0.445,0.396,-284.546,-22.156,-24.414
-0.784,0.453,0.459,-284.668,-20.508,-28.320
-0.920,0.415,0.480,-285.278,-18.921,-34.729
-1.001,0.388,0.461,-287.415,-19.104,-41.809
-0.982,0.485,0.420,-290.039,-25.635,-46.875
-0.996,0.623,0.395,-290.283,-37.903,-51.514
-1.012,0.741,0.367,-287.537,-51.636,-56.641
-1.052,0.857,0.359,-282.349,-62.378,-62.134
-1.050,0.952,0.384,-274.780,-67.871,-67.993
-0.991,0.953,0.384,-264.709,-70.068,-73.181
-0.998,0.892,0.380,-254.333,-73.914,-76.416
