aX,aY,aZ,gX,gY,gZ
0.444,0.993,-0.314,158.752,196.899,265.564
0.604,0.900,-0.237,154.175,190.857,262.573
0.734,0.798,-0.159,149.109,183.838,258.301
0.822,0.684,-0.096,143.372,176.392,253.113
0.901,0.578,-0.041,137.512,169.006,246.765
0.963,0.471,-0.000,130.981,161.560,239.136
0.999,0.366,0.056,123.962,154.053,229.675
1.045,0.278,0.116,115.906,147.278,217.834
1.100,0.193,0.197,107.483,141.785,204.895
1.151,0.116,0.278,98.267,137.146,190.735
1.219,0.026,0.346,88.013,132.874,175.720
1.288,-0.052,0.406,76.904,126.404,160.950
1.306,-0.116,0.465,65.430,116.943,146.973
1.277,-0.159,0.507,54.688,104.980,133.301
1.254,-0.201,0.553,45.776,92.285,119.873
1.200,-0.233,0.608,38.208,80.811,105.957
1.158,-0.258,0.661,30.884,71.533,92.407
1.152,-0.276,0.695,24.109,63.843,80.627
1.091,-0.306,0.736,17.334,54.810,70.496
1.001,-0.335,0.766,10.071,45.227,60.364
0.905,-0.352,0.786,2.808,36.133,49.561
0.785,-0.343,0.819,-3.723,28.137,39.368
0.684,-0.307,0.864,-8.667,22.583,30.457
0.621,-0.246,0.908,-11.292,19.287,22.522
0.568,-0.185,0.961,-10.437,17.029,15.564
0.537,-0.149,1.004,-6.653,14.465,9.766
0.510,-0.157,1.030,-1.953,11.902,4.333
0.502,-0.191,1.041,1.648,8.606,-0.061
0.472,-0.228,1.041,2.625,4.211,-3.235
0.423,-0.254,1.049,-0.061,0.122,-6.409
0.396,-0.256,1.056,-4.822,-2.014,-10.681
0.390,-0.221,1.061,-10.559,-2.991,-15.442
0.396,-0.163,1.076,-15.869,-4.272,-20.203
0.413,-0.093,1.089,-19.226,-5.188,-24.719
0.429,-0.042,1.095,-20.142,-6.348,-29.053
0.459,0.001,1.089,-19.226,-8.118,-32.471
0.473,0.020,1.073,-17.029,-10.559,-34.485
0.475,0.028,1.047,-14.771,-13.916,-35.583
0.478,0.031,1.018,-12.939,-17.029,-36.987
0.481,0.029,0.990,-11.292,-19.531,-39.246
0.485,0.032,0.973,-10.010,-21.912,-42.419
0.487,0.041,0.961,-9.277,-24.048,-46.631
0.481,0.050,0.956,-9.521,-26.123,-50.598
0.481,0.067,0.944,-10.620,-27.893,-53.467
0.484,0.080,0.930,-12.756,-30.273,-55.237
0.470,0.078,0.908,-15.259,-33.875,-57.251
0.444,0.074,0.893,-17.883,-38.391,-60.120
0.421,0.064,0.871,-20.264,-43.091,-63.477
0.411,0.047,0.844,-22.278,-47.546,-67.444
0.410,0.044,0.832,-24.353,-52.185,-71.777
0.405,0.053,0.825,-27.405,-57.068,-76.172
0.397,0.055,0.808,-31.311,-62.256,-79.529
0.363,0.060,0.791,-36.194,-68.115,-82.275
0.314,0.071,0.793,-41.504,-73.853,-85.388
0.272,0.076,0.768,-46.936,-78.186,-88.562
0.239,0.076,0.743,-51.819,-82.458,-91.187
0.221,0.086,0.715,-56.458,-87.341,-93.445
0.221,0.096,0.675,-60.547,-93.262,-96.069
